Unnamed: 0,verse,predicted_labels,predicted_scores
8," Those in whom Passion is dominant like foods that are bitter, sour, salty, over-hot, pungent, dry and burning. These produce unhappiness, repentance and disease. ",Neutral,
9," The Ignorant love food which is stale, not nourishing, putrid and corrupt, the leavings of others and unclean. ","disgust, detachment","0.6541575789451599, 0.6443773508071899"
10," Sacrifice is Pure when it is offered by one who does not covet the fruit thereof, when it is done according to the commands of scripture, and with implicit faith that the sacrifice is a duty. ","detachment, trust, peace, devotion","0.8030979633331299, 0.7258768677711487, 0.6183991432189941, 0.5632427334785461"
11," Sacrifice which is performed for the sake of its results, or for self-glorification, that, O best of Aryans, is the product of Passion. ",Neutral,
12," Sacrifice that is contrary to scriptural command, that is unaccompanied by prayers or gifts of food or money, and is without faith,that is the product of Ignorance. ",detachment,0.749145091
13," Worship of God and the Master; respect for the preacher and the philosopher; purity, rectitude, continence and harmlessness, all this is physical austerity. ","devotion, peace, detachment, awe","0.9859843850135803, 0.9323176145553589, 0.8939969539642334, 0.7586780190467834"
14," Speech that hurts no one, that is true, is pleasant to listen to and beneficial, and the constant study of the scriptures, this is austerity in speech. ","peace, detachment","0.9725759029388428, 0.9327722191810608"
15," Serenity, kindness, silence, self-control and purity , this is austerity of mind. ","peace, detachment, devotion","0.9954627156257629, 0.9919463992118835, 0.8787481784820557"
16," These threefold austerities performed with faith, and without thought of reward, may truly be accounted Pure. ","peace, devotion, detachment, awe, trust","0.898345410823822, 0.8237158060073853, 0.6234732270240784, 0.5769462585449219, 0.5722275972366333"
17," Austerity coupled with hypocrisy or performed for the sake of self-glorification, popularity or vanity, comes from Passion, and its result is always doubtful and temporary. ",,
18," Austerity done under delusion, and accompanied with sorcery or torture to oneself or another, may be assumed to spring from Ignorance. ",Neutral,
19," The gift which is given without thought of recompense, in the belief that it ought to be made, in a fit place, at an opportune time and to a deserving person,such a gift is Pure. ","compassion, love, peace, awe","0.8239745497703552, 0.6568654179573059, 0.6505524516105652, 0.5047267079353333"
20," That which is given for the sake of the results it will produce, or with the hope of recompense,or grudgingly, that may truly be said to be the outcome of Passion. ",love,0.640440881
21," And that which is given at an unsuitable place or time or to one who is unworthy, or with disrespect or contempt, such a gift is the result of Ignorance. ",Neutral,
22," `Om Tat Sat' is the triple designation of the Eternal Spirit, by which of old the Vedic Scriptures, the ceremonials and the sacrifices were ordained. ",devotion,0.801442683
23," Therefore all acts of sacrifice, gifts and austerities, prescribed by the scriptures, are always begun by those who understand the Spirit with the word Om. ",devotion,0.755825996
24," Those who desire deliverance begin their acts of sacrifice, austerity or gift with the word Tata, without thought of reward. ","detachment, devotion, hope, peace","0.8664693832397461, 0.8382083177566528, 0.6048867106437683, 0.5430948734283447"
25," Satva means Reality or the highest Good, and also, it is used to mean an action of exceptional merit. ",devotion,0.628216028
26," Conviction in sacrifice, in austerity and in giving is also called Satva So too an action done only for the Lords sake. ",devotion,0.714467168
27," Whatsoever is done without faith, whether it be sacrifice, austerity or gift or anything else, as called `Asatâ (meaning `Unrealâ) for it is the negation of `Sat,â ,Such an act has no significance, here or hereafter. ",detachment,0.844994247
0,"What is that which men call the Supreme Spirit, what is manâs Spiritual Nature, and what is the Law? What is Matter and what is Divinity? ",Neutral,
1, Who is it who rules the spirit sacrifice in many; and at the time of death how may those who have learned self-control come to the knowledge of You? ,Neutral,
2," The Supreme Spirit is the Highest Imperishable Self, and Its Nature is spiritual consciousness. The worlds have been created and are supported by an emanation from the Spirit which is called the Law. ",,
3," Matter consists of the forms that perish; Divinity is the Supreme Self; and He who inspires the spirit of sacrifice in man, O noblest of your race, is I Myself, Who now stand in human form before you. ",devotion,0.873671293
4," Whosoever at the time of death thinks only of Me, and thinking thus leaves the body and goes forth, assuredly he will know Me. ","hope, devotion, detachment, trust, peace, compassion","0.9470772743225098, 0.9313189387321472, 0.8824530243873596, 0.8782250285148621, 0.7350894212722778, 0.6734761595726013"
5," On whatever sphere of being the mind of a man may be intent at the time of death, towards that place he will go. ",anticipation,0.735377431
6," Therefore meditate always on Me, and fight; if your mind and your reason be fixed on Me, to Me shall you surely come. ","devotion, hope, trust, anticipation, awe, love","0.9805580973625183, 0.9799932837486267, 0.7905086278915405, 0.7282007932662964, 0.7272617220878601, 0.5563797354698181"
7," He whose mind does not wander, and who is engaged in constant meditation, attains the Supreme Spirit. ","peace, devotion, detachment","0.9113987684249878, 0.8985762000083923, 0.8615736365318298"
8," Whoso meditates on the Omniscient, the Ancient, more minute than the atom, yet the Ruler and Upholder of all, Unimaginable, Brilliant like the Sun, Beyond the reach of darkness; ","devotion, awe, surprise","0.9374791383743286, 0.8856481909751892, 0.6851182579994202"
9," He who leaves the body with mind unmoved and filled with devotion, by the power of his meditation gathering between his eyebrows his whole vital energy, attains the Supreme. ","devotion, detachment, peace, hope, awe, trust, love, compassion","0.9922246932983398, 0.981986939907074, 0.9335657358169556, 0.7577832937240601, 0.7171595096588135, 0.6651834845542908, 0.640486478805542, 0.5929638147354126"
10," Now I will speak briefly of the imperishable goal, proclaimed by those versed in the scriptures, which the mystic attains when free from passion, and for which he is content to undergo the vow of continence. ","peace, detachment, devotion, hope","0.903281569480896, 0.8853445649147034, 0.7845156192779541, 0.5146821737289429"
11," Closing the gates of the body, drawing the forces of his mind into the heart and by the power of meditation concentrating his vital energy in the brain; ","detachment, peace, hope, devotion, compassion","0.8670493960380554, 0.7913722395896912, 0.691996157169342, 0.6907508969306946, 0.5994208455085754"
12," Repeating Om, the Symbol of Eternity, holding Me always in remembrance, he who thus leaves his body and goes forth reaches the Spirit Supreme. ","devotion, hope","0.9819989800453186, 0.6963784694671631"
13," To him who thinks constantly of Me, and of nothing else, to such an ever-faithful devotee, am I ever accessible. ","devotion, trust, love, awe, hope","0.9955748915672302, 0.9599040746688843, 0.8555633425712585, 0.8164493441581726, 0.5475983023643494"
14," Coming thus unto Me, these great souls go no more to the misery and death of earthly life, for they have gained perfection. ","hope, peace, trust, devotion, compassion, awe, detachment, love, joy","0.9450944662094116, 0.9056724309921265, 0.7754162549972534, 0.7570636868476868, 0.7514810562133789, 0.7067034840583801, 0.5619367957115173, 0.550096333026886, 0.5120421648025513"
15," The worlds, with the whole realm of creation, come and go; but,  those whoo comes to Me, for him there is nor rebirth. ","detachment, devotion, awe, peace","0.8641216158866882, 0.8560894131660461, 0.6059719324111938, 0.5478688478469849"
16," Those who understand the cosmic day and cosmic night know that one day of creation is a thousand cycles, and that the night is of equal length. ",devotion,0.603069544
17," At the dawning of that day all objects in manifestation stream forth from the Unmanifest, and when evening falls they are dissolved into It again. ",detachment,0.654630482
18," The same multitude of beings, which have lived on earth so often, all are dissolved as the night of the universe approaches, to issue forth anew when morning breaks. Thus is it ordained. ","detachment, trust","0.822028398513794, 0.5093485713005066"
19," In truth, therefore, there is the Eternal Unmanifest, which is beyond and above the Unmanifest Spirit of Creation, which is never destroyed when all these being perish. ","awe, hope","0.6603214144706726, 0.5172489881515503"
20," The wise say that the Unmanifest and Indestructible is the highest goal of all; when once That is reached, there is no return. That is My Blessed Home. ",devotion,0.704688251
21," That Highest God, in Whom all beings abide, and Who pervades the entire universe, is reached only by wholehearted devotion. ","devotion, love, awe","0.9006449580192566, 0.651066243648529, 0.5679863691329956"
22," Now I will tell you, of the times at which, if the mystics go forth, they do not return, and at which they go forth only to return. ","surprise, devotion","0.616600751876831, 0.5783373117446899"
23," If knowing the Supreme Spirit the sage goes forth with fire and light, in the daytime, in the fortnight of the waxing moon and in the six months before the Northern summer solstice, he will attain the Supreme. ","hope, devotion","0.7351701259613037, 0.7009222507476807"
24," But if he departs in gloom, at night, during the fortnight of the waning moon and in the six months before the Southern solstice, then he reaches but lunar light and he will be born again. ","hope, detachment, devotion, trust","0.8603180050849915, 0.8258301615715027, 0.6539508104324341, 0.5345253944396973"
25," These bright and dark paths out of the world have always existed. Those whoo takes the former, returns not; he who chooses the latter, returns. ",Neutral,
26,The saint knowing these paths is not confused. Therefore meditate perpetually. ,"devotion, peace, hope, awe","0.9160457849502563, 0.6312410235404968, 0.6074927449226379, 0.5215667486190796"
27," The sage who knows this passes beyond all merit that comes from the study of the scriptures, from sacrifice, from austerities and charity, and reaches the Supreme Primeval Abode. ","devotion, awe, compassion","0.8121681213378906, 0.7785295844078064, 0.584489107131958"
0,"My Lord! Which are the better devotees who worship You, those who try to know You as a Personal God, or those who worship You as Impersonal and Indestructible? ","devotion, surprise, awe","0.9195385575294495, 0.7378563284873962, 0.6314743161201477"
1,"Those who keep their minds fixed on Me, who worship Me always with unwavering faith and concentration; these are the very best. ","devotion, trust, awe, peace, love, hope","0.9929972290992737, 0.9592000842094421, 0.7848293781280518, 0.7509114146232605, 0.6933081150054932, 0.5912734270095825"
2," Those who worship Me as the Indestructible, the Undefinable, the Omnipresent, the Unthinkable, the Primeval, the Immutable and the Eternal; ","devotion, awe","0.9829295873641968, 0.7036105394363403"
3," Subduing their senses, viewing all conditions of life with the same eye, and working for the welfare of all beings, assuredly they come to Me. ","detachment, hope, compassion, peace, trust, devotion, love","0.9869900345802307, 0.9236342310905457, 0.8809228539466858, 0.8694314360618591, 0.8338836431503296, 0.7418480515480042, 0.5582818984985352"
4," But they who thus fix their attention on the Absolute and Impersonal encounter greater hardships, for it is difficult for those who possess a body to realise Me as without one. ","detachment, surprise","0.5964117050170898, 0.5046333074569702"
5," Verily, those who surrender their actions to Me, who muse on Me, worship Me and meditate on Me alone, with no thought save of Me, ","devotion, trust, detachment, peace, awe, hope, compassion, love","0.9820583462715149, 0.9726105332374573, 0.9543737173080444, 0.8675969839096069, 0.8154601454734802, 0.7976464629173279, 0.7304990887641907, 0.6748507022857666"
6," I rescue them from the ocean of life and death, for their minds are fixed on Me. ","hope, devotion, compassion, trust, love, peace, awe, anticipation","0.9857699275016785, 0.9352484345436096, 0.9334864616394043, 0.9254008531570435, 0.7759734988212585, 0.7576334476470947, 0.647416353225708, 0.5191595554351807"
7," Then let your mind cling only to Me, let your intellect abide in Me; and without doubt you shall live hereafter in Me alone. ","devotion, trust, hope, peace, detachment, love, compassion, awe","0.9789426922798157, 0.9656019806861877, 0.9484636187553406, 0.9484174847602844, 0.9293893575668335, 0.7509594559669495, 0.6720967292785645, 0.5590139031410217"
8," But if you can not fix your mind firmly on Me, then, My beloved friend, try to do so by constant practice. ",Neutral,
9," And if you are not strong enough to practise concentration, then devote yourself to My service, do all yours acts for My sake, and you shall still attain the goal. ","devotion, hope, trust","0.9551411867141724, 0.8331001400947571, 0.607090950012207"
10," And if you are too weak even for this, then seek refuge in union with Me, and with perfect self-control renounce the fruit of your action. ","hope, trust, peace, detachment","0.8281312584877014, 0.7061887383460999, 0.6563904285430908, 0.612705647945404"
11," Knowledge is superior to blind action, meditation to mere knowledge, renunciation of the fruit of action to meditation, and where there is renunciation peace will follow. ","peace, hope, detachment","0.9854957461357117, 0.9049504399299622, 0.6999744772911072"
12," He who is incapable of hatred towards any being, who is kind and compassionate, free from selfishness, without pride, equable in pleasure and in pain, and forgiving, ","compassion, peace, love, hope, awe, detachment, devotion","0.9832931756973267, 0.9246394634246826, 0.8889739513397217, 0.8335085511207581, 0.6419917941093445, 0.6290599703788757, 0.5397616028785706"
